Country,CountryName,Outlet,OutletName,PMUO,PMUN,PFO,PFN,PVO,PVN,PSB,Newspaper
1,Austria,1,Der Standard,.000227114,.0063,.042349,.040615648,.000456562,.001146756,0,1
1,Austria,2,Die Presse,.000111604,.0063,.0676122,.089951383,.000167179,.000808925,0,1
1,Austria,3,Neue Kronen Zeitung,.000259548,.0064,.0323767,.02646551,.002728871,.002871232,0,1
1,Austria,4,ORF1,1.14402E-05,.0058,.0041219,.008280247,.000903395,.000488097,1,0
1,Austria,5,ATV,5.8992E-06,.0059,.009108,.017344624,.006099118,.00903429,0,0
2,Bulgaria,6,24 Chasa,6.06903E-06,.022923024,.0040142,.0244,.0011,.0111,0,1
2,Bulgaria,7,Dnevnik,7.31617E-06,.022555644,.0061389,.0251,.0004,.0126,0,1
2,Bulgaria,8,Trud,4.75534E-06,.022095938,.0011806,.0149,.0004,.0118,0,1
2,Bulgaria,9,BNT,3.21553E-05,.022569653,.0101534,.0134,.0012,.012469233,1,0
2,Bulgaria,10,BTV,1.7188E-05,.022383668,.0044864,.0297,.0007,.013721883,0,0
3,Czech Repu,11,Blesk,3.34725E-06,.0156,.0006627,.0073,.007539726,.001121198,0,1
3,Czech Repu,12,Mlada Fronta Dnes,.00022624,.015,.0231479,.0321,.005430372,.024232227,0,1
3,Czech Repu,13,Pravo,.000153385,.0167,.0612544,.0574,.001667591,.007470042,0,1
3,Czech Repu,14,Ceska televize CT1,1.61588E-06,.0152,.0044497,.0195,.001639726,.005691198,1,0
3,Czech Repu,15,TV Nova,2.7933E-05,.0148,.004213,.0169,.017472464,.056895198,0,0
4,Denmark,16,Politiken,.000167202,.009608736,.0459562,.075,.000588545,.004896387,0,1
4,Denmark,17,Moregna. Jyllandspos,5.2685E-05,.009340535,.0341648,.03,.000712921,.004472586,0,1
4,Denmark,18,EkstraBladet,1.3632E-05,.008674899,.0212396,.02,.000477757,.003061753,0,1
4,Denmark,19,DR1,1.5989E-05,.009236164,.0055933,.01,.002121064,.002426569,1,0
4,Denmark,20,TV2,.000133208,.008310998,.0071807,.008,.002359766,.010526272,0,0
5,Estonia,21,Postimees,7.91662E-06,.008,.0205306,.0376,.005196442,.00451137,0,1
5,Estonia,22,Ohtuleht,2.67453E-05,.0072,.0103806,.0096,.002934088,.003883405,0,1
5,Estonia,23,Eesti Ekspress,1.31841E-05,.0073,.0027682,.0097,.02412546,.033130738,0,1
5,Estonia,24,ETV,1.04429E-05,.008,.0043829,.0167,.002692289,.006367348,1,0
5,Estonia,25,Kanal 2,3.99712E-05,.0078,.0011534,.0165,.011864106,.02488448,0,0
6,Finland,26,Helsingin Sanomat,4.68804E-05,.006439124,.0135944,.014250998,.000761424,.003266354,0,1
6,Finland,27,Aamulehti,3.25519E-06,.006466517,.0265111,.052831832,.000420175,.003772887,0,1
6,Finland,28,Ilta-Sanomat,1.0537E-05,.006466018,.0007333,.012667943,.001081941,.004053144,0,1
6,Finland,29,YLE TV1,1.06048E-05,.006401345,.0279278,.023992943,.000177343,.001364268,1,0
6,Finland,30,MTV3,2.16732E-05,.006277988,.0122889,.029962665,.000419865,.001366793,0,0
7,Flanders,31,De Morgen,3.49268E-05,.006533213,.0391682,.0547,.000384029,.012788433,0,1
7,Flanders,32,De Standard,5.3911E-06,.006187104,.0362517,.0283,.000665715,.013145843,0,1
7,Flanders,33,Het Laatste N,1.05122E-05,.006151381,.0287983,.0402,.000747956,.006213889,0,1
7,Flanders,34,VRT,4.40825E-05,.00598549,.0122171,.0207,.001064549,.006437248,1,0
7,Flanders,35,VTM,9.41374E-06,.005893169,.0107048,.0183,.00182796,.017998462,0,0
8,France,36,Le Monde,1.95793E-05,.042551591,.0131539,.0363,.000507508,.022777964,0,1
