SystemName,PartyCode,PartyName,PMUO,PMUN,PFO,PFN,PVO,PVN
Austria,1,SPÖ,.000415892,-.091588794,.036188763,-.077463869,.022360652,.048564916
Austria,2,ÖVP,-.004048117,-.06410736,-.117793898,-.082857055,.021510906,.027440938
Austria,3,FPÖ,.009516551,.036462476,.12787255,.068262023,-.041721703,.010341434
Austria,4,BZÖ,.006521054,.100801544,-.007033623,-.103507307,-.001760046,-.025458483
Austria,5,GRÜNE,-.01240538,.079332134,-.060307183,-.069870341,-.000389809,1.11951E-05
Bulgaria,6,BSP,-.000837155,-.166153592,-.014697664,-.251470391,.007023768,-.092052742
Bulgaria,7,NDSV,-.001010617,-.055550178,0,-.1988,-.005092104,-.156979512
Bulgaria,8,DPS,-.001398852,.009120389,.003321508,-.106596674,-.011379222,.053891536
Bulgaria,9,ATAKA,.001572332,.062486881,.006643016,-.038393348,.005579472,-.042470606
Bulgaria,10,Gerb,.001631002,-.318673392,.046743572,.092234481,.00510712,-.018091838
Bulgaria,11,SDS-DSB,-.00080026,.001383215,-.046406339,-.096699067,.004244685,.111052082
Bulgaria,12,RZS,.000843551,.144786678,0,0,-.005483717,-.17794892
CZ,13,ODS,.001050779,-.151858484,.028992461,-.047884462,.02295984,.235618173
CZ,14,ČSSD,.00085833,-.119597758,-.065428215,-.173243599,-.03299046,-.145297602
CZ,15,KSČM,-.00090231,.074641239,0,-.1281,-.01524986,-.07522486
CZ,16,KDU-ČSL,.000490382,.126424618,0,-.0723,.013160909,.018360909
CZ,17,SZ,-.001497182,.130090386,.005968275,-.010777879,.01211957,.02624338
DK,18,Venstre,.001758395,-.093338056,.024647177,-.037952823,-.009307886,.010615008
DK,19,SD,-.001532548,-.089021761,-.004128882,-.09692412,.001818251,-.005038342
DK,20,DF,.001415936,.028605654,-.023983663,-.048297949,-.005105549,-.028873945
DK,21,KF,.000783287,.06375067,-.002904953,-.078233525,.00856099,.152544079
DK,22,RV,-.002125567,.113207583,-.000796282,-.042472473,.001609567,.035751448
DK,23,Liberal Alliance,-.000299503,.137695911,-.018912631,.105368321,.002424626,-.004098248
Estonia,24,Eesti Reformierakond,.000469638,-.108911579,.016289397,.04397175,.003084674,-.13518986
Estonia,25,Eesti Keskerakond,-.00143485,-.106771023,-.006696006,-.220437183,.028424434,.009657184
Estonia,26,Isamaa ja Res Public,.000604475,-.007880299,-.006365646,-.055653881,.011114812,-.002184849
Estonia,27,Sotsiaal-demokraatli,-.000160428,.064784845,-.005434347,-.064475524,.018823848,.10150081
Estonia,28,Eestimaa Rohelised,.00018313,.097449818,.000370434,-.05926486,-.000303016,-.067703016
