PFN,PFO,PVN,PVO,PMUN,PMUO,System,SystemName,Outlet,Party
.023189474,.136842105,.022752697,-.003451566,-.082170905,.009833782,1,Austria,Der Standard - SPÖ,SPÖ
-.239968421,-.126315789,.028685141,.002480877,-.104439334,-.012434648,1,Austria,Die Presse - SPÖ,SPÖ
-.082073684,.031578947,.083196178,.056991915,-.092386894,-.000382207,1,Austria,Neue Kronen Zeitung - SPÖ,SPÖ
-.029442105,.084210526,.008987302,-.017216962,-.090616401,.001388285,1,Austria,ORF1 - SPÖ,SPÖ
-.239968421,-.126315789,-.0126,-.038804264,-.090409898,.001594788,1,Austria,ATV - SPÖ,SPÖ
-.154536842,-.189473684,.047253942,.04132391,-.067505731,-.007446488,1,Austria,Der Standard - ÖVP,ÖVP
.582305263,.547368421,.029356627,.023426595,-.044601699,.015457544,1,Austria,Die Presse - ÖVP,ÖVP
-.207168421,-.242105263,.058671338,.052741306,-.069785648,-.009726405,1,Austria,Neue Kronen Zeitung - ÖVP,ÖVP
.055989474,.021052632,-.005831746,-.011761778,-.056642971,.003416272,1,Austria,ORF1 - ÖVP,ÖVP
-.101905263,-.136842105,-.0998,-.105730032,-.061760165,-.001700922,1,Austria,ATV - ÖVP,ÖVP
-.1754,-.115789474,.036218257,-.01584488,.012416987,-.014528937,1,Austria,Der Standard - FPÖ,FPÖ
-.1754,-.115789474,.037451406,-.014611731,.018535451,-.008410473,1,Austria,Die Presse - FPÖ,FPÖ
.245652632,.305263158,-.028903185,-.080966322,.04820494,.021259015,1,Austria,Neue Kronen Zeitung - FPÖ,FPÖ
-.122768421,-.063157895,.030949206,-.021113931,.025484381,-.001461544,1,Austria,ORF1 - FPÖ,FPÖ
-.070136842,-.010526316,.1846,.132536863,.030087863,.003141938,1,Austria,ATV - FPÖ,FPÖ
-.107,-.010526316,-.040609959,-.016911522,.081661538,-.012618952,1,Austria,Der Standard - BZÖ,BZÖ
-.107,-.010526316,-.030694779,-.006996343,.090680923,-.003599567,1,Austria,Die Presse - BZÖ,BZÖ
-.107,-.010526316,-.056044586,-.03234615,.107264364,.012983874,1,Austria,Neue Kronen Zeitung - BZÖ,BZÖ
-.107,-.010526316,.035857143,.059555579,.096844466,.002563976,1,Austria,ORF1 - BZÖ,BZÖ
-.054368421,.042105263,-.027,-.003301564,.09495116,.000670669,1,Austria,ATV - BZÖ,BZÖ
.369384211,.378947368,-.004714938,-.005115941,.116498111,.024760596,1,Austria,Der Standard - GRÜNE,GRÜNE
-.1043,-.094736842,-.003898394,-.004299397,.100724659,.008987144,1,Austria,Die Presse - GRÜNE,GRÜNE
-.1043,-.094736842,.003980255,.003579251,.067603238,-.024134277,1,Austria,Neue Kronen Zeitung - GRÜNE,GRÜNE
-.1043,-.094736842,-.009061905,-.009462908,.085830525,-.005906989,1,Austria,ORF1 - GRÜNE,GRÜNE
-.1043,-.094736842,.0157,.015298996,.08803104,-.003706474,1,Austria,ATV - GRÜNE,GRÜNE
.081854545,.036363636,.018920846,.042119804,-.321744336,-.001439942,2,Bulgaria,24 Chasa - GERB,GERB
-.009054545,-.054545455,-.037239604,-.014040646,-.319922019,.000382374,2,Bulgaria,Dnevnik - GERB,GERB
.081854545,.036363636,.002844321,.026043279,-.317503054,.00280134,2,Bulgaria,Trud - GERB,GERB
-.099963636,-.145454545,-.062768627,-.03956967,-.328122695,-.007818302,2,Bulgaria,BNT Kanal 1 - GERB,GERB
.172763636,.127272727,-.037751724,-.014552766,-.314229863,.00607453,2,Bulgaria,bTV - GERB,GERB
-.3095,-.072727273,-.152421752,-.053345243,-.169523283,-.004206846,2,Bulgaria,24 Chasa - BSP,BSP
-.3095,-.072727273,-.126966337,-.027889827,-.169785869,-.004469432,2,Bulgaria,Dnevnik - BSP,BSP
-.218590909,.018181818,-.133960111,-.034883601,-.163731252,.001585185,2,Bulgaria,Trud - BSP,BSP
-.036772727,.2,-.032227451,.066849058,-.153720975,.011595463,2,Bulgaria,BNT Kanal 1 - BSP,BSP
-.3095,-.072727273,-.049806897,.049269613,-.169820807,-.00450437,2,Bulgaria,bTV - BSP,BSP
-.1281,-.018181818,.065253474,-1.72836E-05,.012467208,.001947967,2,Bulgaria,24 Chasa - DPS,DPS
-.1281,-.018181818,.099622772,.034352014,.011811622,.001292381,2,Bulgaria,Dnevnik - DPS,DPS
-.037190909,.072727273,.049185319,-.016085439,.011226033,.000706792,2,Bulgaria,Trud - DPS,DPS
-.1281,-.018181818,.067978431,.002707673,.012507875,.001988634,2,Bulgaria,BNT Kanal 1 - DPS,DPS
-.1281,-.018181818,.044313793,-.020956965,.004583469,-.005935773,2,Bulgaria,bTV - DPS,DPS
.100418182,.145454545,-.020977039,.027073039,.064574895,.003660346,2,Bulgaria,24 Chasa - ATAKA,ATAKA
-.0814,-.036363636,-.056647525,-.008597446,.057859093,-.003055456,2,Bulgaria,Dnevnik - ATAKA,ATAKA
-.0814,-.036363636,-.034308587,.013741491,.06288765,.001973101,2,Bulgaria,Trud - ATAKA,ATAKA
-.0814,-.036363636,-.0814,-.033349921,.055963316,-.004951233,2,Bulgaria,BNT Kanal 1 - ATAKA,ATAKA
-.0814,-.036363636,-.046917241,.001132837,.063287792,.002373243,2,Bulgaria,bTV - ATAKA,ATAKA
-.050290909,1.81818E-06,.066465257,-.040342141,.003881837,.001698362,2,Bulgaria,24 Chasa - SDS-DSB,SDS-DSB
.131518182,.181810909,.103960396,-.002847001,.004630054,.002446579,2,Bulgaria,Dnevnik - SDS-DSB,SDS-DSB
